X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,material_consumption
0.0,0.0,0.5,0.298735,1.0,0.0,0.05069,-0.795973,0.8,-0.7,6.169
0.0,0.0,0.5,0.225493,1.0,0.0,0.159737,-0.886546,0.8,-0.7,6.013
0.0,0.0,0.5,0.177687,1.0,0.0,0.177695,-0.766908,0.8,-0.7,5.577
0.0,0.0,0.5,-0.167864,1.0,0.0,0.287726,-0.581232,0.8,-0.7,4.386
0.0,0.0,0.5,-0.239428,1.0,0.0,0.16491,-0.400932,0.8,-0.7,4.235
0.0,0.0,0.5,-0.192604,1.0,0.0,0.191478,-0.941483,0.8,-0.7,5.236
0.0,0.0,0.5,-0.042617,1.0,0.0,0.014544,-0.599206,0.8,-0.7,4.986
0.0,0.0,0.5,0.273589,1.0,0.0,0.243309,-0.600355,0.8,-0.7,5.45
0.0,0.0,0.5,-0.05863,1.0,0.0,0.022642,-0.550802,0.8,-0.7,4.863
0.0,0.0,0.5,0.164575,1.0,0.0,0.24904,-0.468416,0.8,-0.7,4.9
0.0,0.0,0.5,0.268582,1.0,0.0,0.230924,-0.644886,0.8,-0.7,5.532
0.0,0.0,0.5,-0.226475,1.0,0.0,0.101972,-0.665636,0.8,-0.7,4.732
0.0,0.0,0.5,-0.004749,1.0,0.0,0.238514,-0.941195,0.8,-0.7,5.481
0.0,0.0,0.5,-0.107455,1.0,0.0,0.049502,-0.994536,0.8,-0.7,5.668
0.0,0.0,0.5,-0.262374,1.0,0.0,0.175387,-0.936077,0.8,-0.7,5.172000000000001
0.0,0.0,0.5,-0.018273,1.0,0.0,0.184076,-0.545421,0.8,-0.7,4.675000000000001
0.0,0.0,0.5,-0.08387,1.0,0.0,0.014819,-0.556854,0.8,-0.7,4.851
0.0,0.0,0.5,-0.067875,1.0,0.0,0.091606,-0.865702,0.8,-0.7,5.363
0.0,0.0,0.5,-0.077912,1.0,0.0,0.272039,-0.733933,0.8,-0.7,4.8260000000000005
0.0,0.0,0.5,-0.295439,1.0,0.0,0.061799,-0.757363,0.8,-0.7,4.927
0.0,0.0,0.5,0.071083,1.0,0.0,0.132994,-0.839108,0.8,-0.7,5.522
0.0,0.0,0.5,0.201958,1.0,0.0,0.272606,-0.411534,0.8,-0.7,4.901
0.0,0.0,0.5,0.213879,1.0,0.0,0.232617,-0.583412,0.8,-0.7,5.248
0.0,0.0,0.5,0.164222,1.0,0.0,0.075723,-0.561329,0.8,-0.7,5.263999999999999
0.0,0.0,0.5,-0.246692,1.0,0.0,0.196473,-0.867418,0.8,-0.7,4.996
0.0,0.0,0.5,-0.284195,1.0,0.0,0.116787,-0.548656,0.8,-0.7,4.478000000000001
0.0,0.0,0.5,0.231756,1.0,0.0,0.131979,-0.40384,0.8,-0.7,5.111
0.0,0.0,0.5,-0.164418,1.0,0.0,0.049565,-0.937322,0.8,-0.7,5.454
0.0,0.0,0.5,0.223778,1.0,0.0,0.277594,-0.4134,0.8,-0.7,4.963
0.0,0.0,0.5,-0.014215,1.0,0.0,0.219029,-0.409668,0.8,-0.7,4.433000000000001
0.0,0.0,0.5,-0.119723,1.0,0.0,0.124216,-0.683414,0.8,-0.7,4.848
0.0,0.0,0.5,-0.226541,1.0,0.0,0.052903,-0.861847,0.8,-0.7,5.211
0.0,0.0,0.5,-0.223997,1.0,0.0,0.188617,-0.921537,0.8,-0.7,5.156
0.0,0.0,0.5,-0.077468,1.0,0.0,0.014618,-0.564059,0.8,-0.7,4.872
0.0,0.0,0.5,-0.01501,1.0,0.0,0.095872,-0.901503,0.8,-0.7,5.535
0.0,0.0,0.5,-0.078782,1.0,0.0,0.242927,-0.84951,0.8,-0.7,5.114999999999999
0.0,0.0,0.5,0.034404,1.0,0.0,0.268001,-0.862399,0.8,-0.7,5.339
0.0,0.0,0.5,-0.116384,1.0,0.0,0.205004,-0.963601,0.8,-0.7,5.377
